Date,Open,High,Low,Close,Volume
2025-02-24,2933.1000976562,2957.8999023438,2933.1000976562,2947.8999023438,415
2025-02-25,2938.6999511719,2943.1999511719,2890.0,2904.5,1854
2025-02-26,2913.5,2917.0,2913.0,2916.8000488281,2050
2025-02-27,2918.5,2922.8000488281,2870.3999023438,2883.1999511719,3215
2025-02-28,2877.1000976562,2877.1000976562,2834.1000976562,2836.8000488281,990
2025-03-03,2872.6999511719,2891.8000488281,2863.3999023438,2890.1999511719,423
2025-03-04,2886.1000976562,2927.8999023438,2886.1000976562,2909.6000976562,885
2025-03-05,2916.6999511719,2922.0,2893.0,2915.3000488281,551
2025-03-06,2904.0,2918.6000976562,2903.8000488281,2916.6000976562,870
2025-03-07,2900.8999023438,2927.3000488281,2900.5,2904.6999511719,531
2025-03-10,2910.1000976562,2915.1000976562,2880.1999511719,2891.0,55
2025-03-11,2884.3999023438,2916.6999511719,2880.3999023438,2912.8999023438,197
2025-03-12,2912.0,2939.1000976562,2910.0,2939.1000976562,213
2025-03-13,2937.1000976562,2988.0,2935.1999511719,2984.3000488281,2366
2025-03-14,2994.3999023438,3004.8000488281,2986.0,2994.5,1800
2025-03-17,2991.0,3001.5,2989.0,3000.0,214
2025-03-18,3006.3999023438,3039.1999511719,3004.3999023438,3035.1000976562,428
2025-03-19,3035.1999511719,3050.8999023438,3030.8999023438,3035.8999023438,175
2025-03-20,3047.3000488281,3047.3000488281,3034.3999023438,3040.0,185
2025-03-21,3034.5,3037.5,3000.8999023438,3018.1999511719,151
2025-03-24,3024.3000488281,3024.3000488281,3006.0,3013.1000976562,137
2025-03-25,3026.3999023438,3028.8000488281,3023.6999511719,3023.6999511719,74
2025-03-26,3033.1999511719,3033.1999511719,3019.5,3020.8999023438,83
2025-03-27,3025.5,3065.0,3025.5,3060.1999511719,124359
2025-03-28,3069.6999511719,3094.8999023438,3066.8000488281,3086.5,31206
2025-03-31,3091.0,3132.5,3086.0,3122.8000488281,3438
2025-04-01,3129.6999511719,3149.5,3104.0,3118.8999023438,1721
2025-04-02,3120.6999511719,3168.6000976562,3117.3999023438,3139.8999023438,5946
2025-04-03,3150.0,3166.8999023438,3052.0,3097.0,5516
2025-04-04,3110.5,3127.6999511719,3011.0,3012.0,3247
